"AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted","returns"
3.285714,3.296429,3.203571,3.226786,751920400,2.746376,-0.011812184701397
3.22,3.244643,3.2,3.228571,464044000,2.747896,0.000553182020747611
3.221071,3.258929,3.208214,3.223929,425913600,2.743945,-0.0014377878014763
3.246071,3.256429,3.233929,3.248929,522779600,2.765223,0.00775451320423004
3.271071,3.35,3.265,3.339643,780290000,2.842432,0.0279212011096581
3.355714,3.4425,3.260714,3.33,1055252800,2.834224,-0.00288743437547068
3.365357,3.407143,3.35,3.405357,1187144000,2.898362,0.0226297297297298
3.627857,3.660714,3.510714,3.53,1737778000,3.004447,0.0366020361448154
3.506429,3.569643,3.488929,3.568571,699403600,3.037276,0.0109266288951841
3.574643,3.607143,3.559643,3.564286,616509600,3.033629,-0.00120076075269338
3.556786,3.583929,3.519643,3.5525,532523600,3.023597,-0.00330669312170795
3.558929,3.590714,3.5525,3.585357,505145200,3.051563,0.00924897959183668
3.5975,3.623214,3.571786,3.585714,576077600,3.051867,9.95716744525144e-05
3.6,3.628571,3.589286,3.600357,381987200,3.06433,0.00408370550467763
3.61,3.726786,3.6075,3.711429,861557200,3.158865,0.0308502740144936
3.695357,3.755357,3.693571,3.752143,783997200,3.193518,0.0109698986562858
3.746786,3.82,3.746071,3.817143,717757600,3.248841,0.0173234335684969
3.808214,3.887143,3.782857,3.833571,1197257600,3.262823,0.00430374235390185
3.847857,3.8975,3.813571,3.883571,653696400,3.305378,0.0130426696153534
3.915,3.928571,3.866071,3.905714,651946400,3.324225,0.00570171113132734
3.913214,3.935714,3.802857,3.84,954514400,3.268295,-0.0168250926719161
3.876071,3.886786,3.693571,3.833571,1126767600,3.262823,-0.00167421874999996
3.826786,3.923929,3.826786,3.908571,735291200,3.326656,0.0195640044230301
3.936786,3.951429,3.920357,3.929286,621345200,3.344288,0.00529989093200567
3.939643,4.016071,3.930357,3.999286,639892400,3.403865,0.0178149414422875
4.0175,4.0625,4.000357,4.055,572409600,3.451285,0.0139309866811226
4.072143,4.107143,4.021071,4.031786,911374800,3.431528,-0.00572478421701583
4.028929,4.087857,3.941786,3.953214,887362000,3.364653,-0.0194881375152353
4,4.063571,3.982143,4.057857,632959600,3.453717,0.0264703605724355
4.0875,4.102143,4.024643,4.083929,645694000,3.475907,0.00642506623570038
4.082143,4.245714,4.054643,4.241786,1478444800,3.610263,0.0386532185060025
4.288214,4.363214,4.269286,4.328214,1297066400,3.683822,0.0203753796160391
4.325,4.328214,4.224643,4.228571,885262000,3.599014,-0.0230217359862521
4.236786,4.3475,4.210714,4.333214,886673200,3.688078,0.0247466579135127
4.336071,4.381786,4.303571,4.381071,920785600,3.72881,0.0110442272179496
4.367857,4.430357,4.355357,4.415714,1112241200,3.758296,0.00790742720216131
4.463929,4.5575,4.399643,4.431071,1915079600,3.771365,0.00347780676012976
4.493571,4.493929,4.3675,4.446071,1241682400,3.784132,0.00338518610963345
4.5,4.505357,4.269286,4.2925,1874258400,3.653425,-0.0345408339183066
4.2625,4.346786,4.225357,4.299286,1426566400,3.659201,0.00158089691322072
4.326786,4.328214,4.121429,4.196429,1721353200,3.571657,-0.0239242050889381
4.185714,4.266071,4.157857,4.241071,973266000,3.609653,0.0106380925305778
4.307857,4.309643,4.280714,4.303571,811218800,3.662848,0.0147368435944599
4.402857,4.470714,4.376429,4.4675,910604800,3.802371,0.0380913896854498
4.453214,4.464643,4.389643,4.416429,943026000,3.758903,-0.0114316731952995
4.423929,4.452143,4.339286,4.341071,897512000,3.694765,-0.017063106867562
4.346429,4.438929,4.311429,4.425,867045200,3.766198,0.0193337082024228
4.423214,4.444643,4.370714,4.392857,631876000,3.738841,-0.00726395480225983
4.435357,4.4675,4.323571,4.369286,965403600,3.718779,-0.00536575627205726
4.427857,4.428571,4.24,4.273214,1345005200,3.63701,-0.0219880319118501
4.3075,4.358571,4.259286,4.353214,974696800,3.705101,0.0187212716236538
4.37,4.374643,4.285714,4.305714,838143600,3.664673,-0.0109114782778885
4.356071,4.428571,4.324643,4.358571,1137841600,3.709659,0.0122760127588597
4.323214,4.360357,4.260714,4.330714,994862400,3.685951,-0.0063913149516206
4.357143,4.55,4.339286,4.541786,1162481600,3.865596,0.0487383835552289
4.6,4.748929,4.596071,4.741071,1453051600,4.035213,0.043878113147559
4.754643,4.762143,4.657143,4.725,874694800,4.021533,-0.00338974041941165
4.727857,4.746429,4.613571,4.654643,995820000,3.961653,-0.0148903703703703
4.602857,4.803571,4.600357,4.726786,1255007600,4.023056,0.0154991478401243
4.716786,4.775,4.689643,4.728214,821772000,4.024271,0.000302108028584547
4.780357,4.794286,4.728214,4.788214,704608800,4.075335,0.0126897809616908
4.8225,4.923214,4.804286,4.918929,907606000,4.18659,0.0272993228790528
4.9425,4.999286,4.910714,4.932143,936112800,4.197837,0.00268635713180654
4.939286,4.985714,4.910714,4.961071,709959600,4.222458,0.00586519896118176
