"","META.Open","META.High","META.Low","META.Close","META.Volume","META.Adjusted"
"2695",183.380005,197.160004,180.160004,188.770004,150475700,188.770004
"2696",183.470001,196.770004,182.889999,186.529999,76809700,186.529999
"2697",186.529999,190.699997,185.520004,186.059998,42483800,186.059998
"2698",185.580002,193.779999,184.399994,191.619995,47080700,191.619995
"2699",190,190.830002,182.919998,183.429993,36139100,183.429993
"2700",186.130005,186.649994,177.270004,177.919998,37118800,177.919998
"2701",176.350006,178.889999,173.350006,174.149994,33433600,174.149994
"2702",178.220001,181,175.820007,179.429993,31463200,179.429993
"2703",177.160004,181.509995,175.880005,179.479996,24034600,179.479996
"2704",176.419998,178.190002,175.330002,177.160004,25308900,177.160004
"2705",172.75,175.850006,171.789993,172.440002,25827500,172.440002
"2706",170.220001,173.179993,169.699997,172.880005,24171300,172.880005
"2707",174.309998,178.169998,171.880005,172.080002,34592600,172.080002
"2708",171.070007,172.759995,169.690002,171.119995,22433200,171.119995
"2709",172,173.690002,169.380005,172.039993,20017800,172.039993
"2710",168.639999,170.720001,167.660004,170.389999,19791300,170.389999
"2711",171.880005,173.119995,169.059998,169.539993,19277000,169.539993
"2712",171.899994,177.550003,171.869995,174.940002,46051100,174.940002
"2713",174.589996,177.850006,173.050003,173.419998,30998400,173.419998
"2714",172.380005,175.009995,171.429993,174.529999,17352000,174.529999
"2715",178.919998,186.619995,177.050003,185.25,45877700,185.25
"2716",188,189.660004,184.639999,184.899994,33209400,184.899994
"2717",189,190.360001,184.009995,184.509995,36701500,184.509995
"2718",182.869995,185.259995,181.339996,184.970001,19432400,184.970001
"2719",186.350006,188.929993,180.300003,181.690002,26582800,181.690002
"2720",181.009995,184.770004,178.800003,179.509995,25665000,179.509995
"2721",177.960007,183.779999,174.820007,180.899994,24728000,180.899994
"2722",187.580002,194.320007,186.559998,194.020004,41642600,194.020004
"2723",192.949997,197.779999,190.839996,197.75,42123600,197.75
"2724",198.259995,205.759995,196.089996,204.929993,50447100,204.929993
"2725",200.559998,201.899994,195.429993,195.610001,50141100,195.610001
"2726",198.479996,199.360001,193.639999,197.809998,25186300,197.809998
"2727",203.199997,203.550003,197.949997,202.160004,31827000,202.160004
"2728",202.5,207.369995,199.669998,199.809998,28477800,199.809998
"2729",202.839996,207.880005,202.149994,204.279999,27389700,204.279999
"2730",205.179993,207.580002,203.550003,206.009995,27733000,206.009995
"2731",204.809998,205.860001,201.360001,202.839996,18527200,202.839996
"2732",200.149994,201.029999,197.899994,200.679993,19127300,200.679993
"2733",203.559998,205.720001,202.539993,205.350006,18851100,205.350006
"2734",203.380005,208.089996,202.820007,207.839996,22608300,207.839996
"2735",207.240005,212.169998,206.770004,211.940002,25412000,211.940002
"2736",208.839996,213.490005,208.199997,213.070007,17924600,213.070007
"2737",213.389999,216.240005,212.539993,214.720001,21026400,214.720001
"2738",214.149994,215.190002,209.940002,211.479996,19396600,211.479996
"2739",209.25,216.940002,208.649994,216.100006,26104400,216.100006
"2740",214.710007,215.660004,210.660004,214.75,16106100,214.75
"2741",215.479996,216.020004,213.410004,213.850006,16710100,213.850006
"2742",214.839996,216.839996,212.580002,214,18972200,214
"2743",215.729996,221.149994,215.690002,220.350006,23310400,220.350006
"2744",217.880005,222.110001,217.550003,221.490005,21574200,221.490005
"2745",219.789993,220.979996,217.130005,218.860001,15481900,218.860001
